n,ordem,estrutura,comparacoes,tempo_us
1000,crescente,avl,8977,65
1000,crescente,bst,499500,863.75
1000,aleatorio,avl,8776,101.25
1000,aleatorio,bst,10221,83.5
2000,crescente,avl,19953,113
2000,crescente,bst,1999000,3325.25
2000,aleatorio,avl,19444,208.5
2000,aleatorio,bst,24423,163
5000,crescente,avl,56809,318.75
5000,crescente,bst,12497500,19826.5
5000,aleatorio,avl,55270,620
5000,aleatorio,bst,73077,468.25
10000,crescente,avl,123617,598.75
10000,crescente,bst,49995000,78635.5
10000,aleatorio,avl,121122,1421
10000,aleatorio,bst,157279,1125.5
20000,crescente,avl,267233,1295.75
20000,crescente,bst,199990000,314349
20000,aleatorio,avl,262115,3316.25
20000,aleatorio,bst,325793,2533.25
50000,crescente,avl,734465,3596
50000,crescente,bst,1249975000,2.04561e+06
50000,aleatorio,avl,727094,11389.2
50000,aleatorio,bst,988840,7884.75
100000,crescente,avl,1568929,7556
100000,crescente,bst,4999950000,9.86199e+06
100000,aleatorio,avl,1543779,32011.5
100000,aleatorio,bst,1975394,21871
